Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,Cost: Total operating                                  
   1,   1,   1,               143.49                                  
   2,   1,   1,                129.6                                  
   3,   1,   1,               148.08                                  
   4,   1,   1,               149.97                                  
   5,   1,   1,               166.81                                  
   6,   1,   1,               161.44                                  
   7,   1,   1,                160.9                                  
   8,   1,   1,               157.07                                  
   9,   1,   1,               156.17                                  
  10,   1,   1,               148.43                                  
  11,   1,   1,               161.47                                  
  12,   1,   1,               172.58                                  
